"employee_id","name","gender","dates_of_birth","email","address","department","job_titles","manager_id","hire_date","salary","employment_status","employee_type","education_level","certifications","skills","performance_ratings","work_experience","benefits_enrollment","city","employee_status"
6612,"Martha Hutchinson","Male","1970-11-14","randy09@example.net","5301 Norman Flats Apt. 965
North Darrell, PW 86451","Finance","Administrator",10,"2023-04-06",77367,"Part-time","Regular","Master's Degree","team","senior, kitchen, president, call, station",3,"Receive determine pass find. Authority laugh raise firm instead task when.","data, cell, people","Hollandberg","Active"
4793,"Meghan Cervantes","Non-Binary","1992-08-20","matthewsnyder@example.com","7917 Vincent Trafficway Apt. 254
Hallhaven, DE 42526","Finance","Mental health nurse",8,"2022-05-26",81869,"Full-time","Temporary","PhD","whether, some, measure","perhaps, knowledge, officer",4,"Prevent meet bill computer upon keep receive. Strong again more teach magazine.","appear, discover","East Sabrinafurt","Active"
8832,"April Hanna","Male","1986-04-17","lwood@example.net","646 Courtney Hollow
South Marc, LA 67617","Finance","Field seismologist",6,"2020-06-11",97907,"Part-time","Temporary","PhD","job, week","tend, official, red",4,"Necessary Congress real.","stop, woman","New Garyfurt","Active"
7044,"George Yang","Non-Binary","2001-03-15","ellen93@example.net","3930 Kelly Wells Apt. 574
Paulton, OR 22142","Engineering","Nurse, children's",5,"2020-11-25",110034,"Part-time","Regular","PhD","position, similar","question, their, health, single, whole",2,"Yard whose different trade. Free foreign question reality else.","product, either","Christophermouth","On Leave"
4498,"Joseph Patrick","Male","1998-10-09","patriciacollins@example.net","0493 Lane Avenue
Smithburgh, IN 65374","Engineering","Meteorologist",2,"2021-01-12",70091,"Contractor","Contract","Bachelor's Degree","table, seem","how, government, finally, east, strong",4,"Agreement tax chair strategy bring kid assume president. Not support soon pretty positive.","gas, commercial","South Jamestown","Terminated"
4037,"Spencer White","Female","1988-07-23","stephenclark@example.org","255 Stone Isle
South Tanya, DC 71101","Engineering","Scientist, forensic",10,"2021-12-16",116054,"Part-time","Regular","Bachelor's Degree","sure, street","whether, cold, soon",5,"Leg finally meet whether.","most","North Johnberg","Active"
6312,"Angela Arellano","Male","1966-02-14","cherylchavez@example.org","7344 Robert Meadow
Port Amy, KS 57620","IT","Programmer, multimedia",3,"2023-05-06",103163,"Full-time","Temporary","Bachelor's Degree","safe","situation, set, next, imagine, partner",1,"Year fly since nor. Movement heart test then away.","quickly","Johnsonfurt","On Leave"
3872,"Willie Hernandez","Male","1969-06-02","brianthompson@example.org","8165 Kyle Union Apt. 592
West Catherine, CT 38394","IT","Horticultural consultant",5,"2023-04-27",71454,"Contractor","Temporary","PhD","quality, thing, nature","get, consider, but",5,"Thus political reality generation.","president, number, then","Chloechester","Terminated"
9353,"Jose Campbell","Male","1980-03-23","torresmichelle@example.org","USNV Singh
FPO AE 85313","IT","Osteopath",10,"2020-09-28",55130,"Full-time","Contract","High School","campaign, choose","yes, affect, officer, class",2,"Get bed local public similar create.","sea","East Megan","Active"
8989,"Robert Adams","Female","1984-02-10","johnsondebra@example.net","273 Roy Lock
West Davidberg, KS 00849","Marketing","Forest/woodland manager",2,"2020-08-07",97658,"Contractor","Temporary","High School","yard","card, size, rise, admit, plant",3,"Strong often accept stop administration system.","game, north, open","East Marioborough","Terminated"
4625,"Richard Gamble","Female","1959-08-10","michellejacobs@example.org","USNV Andrews
FPO AP 70377","Engineering","Broadcast engineer",1,"2021-01-26",76496,"Contractor","Temporary","High School","politics","end, box, girl",4,"Bed prevent he morning.","sing","Deniseside","On Leave"
6165,"Carrie Perkins","Female","1992-01-11","robinmartin@example.net","7000 Monroe Points Suite 901
Esparzaville, NH 25851","Engineering","Land/geomatics surveyor",10,"2022-05-03",51269,"Full-time","Contract","Associate Degree","clear","charge, current",3,"Miss miss guy race particularly use.","down, compare, record","South Blakeview","Terminated"
1366,"Marcus Wilson Jr.","Female","1965-03-08","hsims@example.org","260 Snow Forges Suite 792
Bryanland, NC 35460","IT","Sound technician, broadcasting/film/video",1,"2021-07-27",116673,"Contractor","Regular","Master's Degree","write, whole, together","fund, many, serious, ball, performance",4,"Field various it government none.","box","Moralesburgh","Active"
8716,"Terry White","Female","1980-05-26","pattersonangel@example.net","48826 Page Cliffs Suite 330
Lake Ashleyside, KY 06815","HR","Personal assistant",5,"2019-01-19",110707,"Contractor","Regular","High School","over, today, generation","window, street, real",3,"Sort impact somebody me star dream. Three price lawyer own option glass identify.","interview, send","South Tyler","Active"
7239,"Lisa Wood","Non-Binary","1959-05-21","judith49@example.com","001 Barbara Stravenue Suite 339
North Justin, MO 98535","Engineering","Translator",4,"2019-12-05",92780,"Full-time","Regular","Bachelor's Degree","be, blue","star, ahead, poor, enjoy, something",5,"Gun easy claim far night. Wind write other peace look today.","clearly","Frankfurt","Active"
2943,"Chad Romero","Non-Binary","1967-09-25","teresamorris@example.net","3561 Harper Park
Port Danielletown, GU 19089","HR","Engineer, structural",4,"2023-11-13",57121,"Part-time","Regular","PhD","behind, shake","suffer, able, threat",4,"Security miss discussion light against indeed.","their, stop","Damonbury","On Leave"
6951,"Kathleen Villa","Female","2005-08-04","angelabaker@example.com","8399 Ford Point Apt. 967
New Linda, LA 57948","IT","Food technologist",4,"2021-08-21",107721,"Contractor","Regular","Bachelor's Degree","have, simply, plan","member, whom",5,"State leave baby people partner north.","bar","Lake Michelle","Active"
6903,"Samuel Wells","Male","1965-08-02","schroedersteven@example.net","95300 Spencer Manors
Montoyashire, CA 73873","Finance","Geoscientist",7,"2022-04-27",113857,"Contractor","Temporary","High School","add, too","as, want, military",3,"Federal campaign two chair major exist trouble.","stay","Lake Sean","On Leave"
7931,"Lori Lewis","Female","1985-11-10","merrittjason@example.org","28411 Jacqueline Brooks
North Dominique, NC 57348","Finance","Warden/ranger",9,"2023-10-29",55007,"Contractor","Regular","Master's Degree","its, night","pull, final",1,"Answer along their project should fall so. Agent probably positive week political.","on","Carriestad","Active"
2850,"David Hurst","Female","1963-01-18","anthony59@example.net","4846 Hicks Lane
Moralesmouth, HI 09502","Engineering","Quantity surveyor",2,"2023-02-07",54429,"Contractor","Regular","Bachelor's Degree","head","indeed, hundred, true",5,"Bad can they.","always, speech","North Brandonhaven","On Leave"
